print;picture;name;text1;text2;reminder;
0;ether.png;Эфир;Отпускная цена <b>200$</b> за бутылку. ;Чтобы принять порцию Эфира - <b>достань ОДИН Красный Камень</b> из этой бутылки и положи его <b>себе в мешок</b> (если позволяют лимиты).<br/><br/><b>Проверь, повлияло ли</b> это Лекарство и как именно <b>на твои Болезнь и Травму</b>.;;24
0;morphine.png;Морфин;Отпускная цена <b>300$</b> за бутылку.;Чтобы принять порцию Морфина - <b>достань ДВА Красных Камня</b> из этой бутылки и положи их <b>себе в мешок</b> (если позволяют лимиты).<br/><br/><b>Проверь, повлияло ли</b> это Лекарство и как именно <b>на твои Болезнь и Травму</b>.;;24
0;heroin.jpg;Героин;Нет в продаже, только по заказу!;Чтобы принять порцию Героина - <b>достань ЧЕТЫРЕ Красных Камня</b> из этой бутылки и положи их <b>себе в мешок</b> (если позволяют лимиты).<br/><br/><b>Проверь, повлияло ли</b> это Лекарство и как именно <b>на твои Болезнь и Травму</b>.;;8
0;aspirine.png;Ацетилсалициловая кислота;Отпускная цена <b>100$</b> за бутылку. ;Чтобы принять порцию Лекарства - <b>достань ОДИН Синий Камень</b> из этой бутылки и положи его <b>себе в мешок</b> (если позволяют лимиты).<br/><br/><b>Проверь, повлияло ли</b> это Лекарство и как именно <b>на твои Болезнь и Травму</b>.;;60
0;camphor.png;Камфора;Отпускная цена <b>400$</b> за бутылку. ;Чтобы принять порцию Камфоры - <b>достань ДВА Синих Камня</b> из этой бутылки и положи их <b>себе в мешок</b> (если позволяют лимиты).<br/><br/><b>Проверь, повлияло ли</b> это Лекарство и как именно <b>на твои Болезнь и Травму</b>.;;16
0;ephedrine.jpg;Эфедрин;Нет в продаже, только по заказу!;Чтобы принять порцию Эфедрина - <b>достань ЧЕТЫРЕ Синих Камня</b> из этой бутылки и положи их <b>себе в мешок</b> (если позволяют лимиты).<br/><br/><b>Проверь, повлияло ли</b> это Лекарство и как именно <b>на твои Болезнь и Травму</b>.;;8
0;caffeine.jpg;Кофеин;Отпускная цена <b>300$</b> за бутылку.;Чтобы принять порцию Кофеина - <b>достань ОДИН Зеленый Камень</b> из этой бутылки и положи его <b>себе в мешок</b> (если позволяют лимиты).<br/><br/><b>Проверь, повлияло ли</b> это Лекарство и как именно <b>на твои Болезнь и Травму</b>.;;24
0;cocaine.jpg;Кокаин;Отпускная цена <b>600$</b> за бутылку. ;Чтобы принять порцию Кокаина - <b>достань ДВА Зеленых Камня</b> из этой бутылки и положи их <b>себе в мешок</b> (если позволяют лимиты).<br/><br/><b>Проверь, повлияло ли</b> это Лекарство и как именно <b>на твои Болезнь и Травму</b>.;;16
0;novocainum.png;Новокаин;Нет в продаже, только по заказу!;Чтобы принять порцию Новокаина - <b>достань ЧЕТЫРЕ Зеленых Камня</b> из этой бутылки и положи их <b>себе в мешок</b> (если позволяют лимиты).<br/><br/><b>Проверь, повлияло ли</b> это Лекарство и как именно <b>на твои Болезнь и Травму</b>.;;8
0;carbol.png;Карболовая кислота;Цена на заказ <b>300$</b> за бутылку.;Чтобы принять порцию Карболовой кислоты - <b>достань Красный, Зеленый и Синий Камни</b> из этой бутылки и сбрось их.<br/><br/><b>Проверь, повлияло ли</b> это Лекарство и как именно <b>на твои Болезнь и Травму</b>.;;12
0;doctor.png;Лекарство-от-Доктора;Что-то странное в пузырьке. ;Чтобы принять порцию этого Лекарства — <b>достань Желтый Камень</b> из этой бутылки и положи его <b>себе в мешок</b>.{2mm}Прием этого Лекарства <b>немедленно купирует</b> приступ <b>любой Болезни или Травмы</b> и <b>на полтора часа</b> блокирует их повторное возникновение.;;4
0;doctor.png;Le olde medicine;Что-то странное в пузырьке. ;Чтобы принять порцию этого Лекарства — <b>достань Желтый Камень</b> из этой бутылки и положи его <b>себе в мешок</b>.{2mm}Прием этого Лекарства <b>немедленно купирует</b> приступ <b>любой Болезни</b>.{2mm}Кроме этого, прием этого Лекарства <b>мгновенно исцеляет ЛЮБУЮ Травму</b> (сдай листок с ней из своей книжки мастерам).;;60
20;ether.png;Эфир;<br/>;Принял Эфир — <b>забери 1 Камень из бутылки в свой мешок</b>.;<b>Принимать</b> Лекарство можно только <b>из бутылки с Сертификатом.</b><br><br>НЕЛЬЗЯ принимать <b>одно и то же Лекарство</b> чаще, чем <b>один раз в 15 минут</b>. Лекарство НЕ даст повторного эффекта до истечения срока.<br><br>Это Лекарство <b>НЕЛЬЗЯ использовать для лечения Ранений, но можно для лечения  Травм.</b><br><br>Сдавайте мастерам пустые бутылки.;40
20;aspirine.png;Аспирин;<br/>;Принял Аспирин — <b>забери 1 Камень из бутылки в свой мешок</b>.;<b>Принимать</b> Лекарство можно только <b>из бутылки с Сертификатом.</b><br><br>НЕЛЬЗЯ принимать <b>одно и то же Лекарство</b> чаще, чем <b>один раз в 15 минут</b>. Лекарство НЕ даст повторного эффекта до истечения срока.<br><br>Это Лекарство <b>НЕЛЬЗЯ использовать для лечения Ранений, но можно для лечения Травм.</b><br><br>Сдавайте мастерам пустые бутылки.;40
0;caffeine.jpg;Кофеин;<br/>;Принял Кофеин — <b>забери 1 Камень из бутылки в свой мешок</b>.;<b>Принимать</b> Лекарство можно только <b>из бутылки с Сертификатом.</b><br><br>НЕЛЬЗЯ принимать <b>одно и то же Лекарство</b> чаще, чем <b>один раз в 15 минут</b>. Лекарство НЕ даст повторного эффекта до истечения срока.<br><br>Это Лекарство <b>НЕЛЬЗЯ использовать для лечения Ранений.</b><br><br>Сдавайте мастерам пустые бутылки.;40
10;morphine.png;Морфин;<br/>;Принял Морфин — <b>забери Камень из бутылки в свой мешок</b> и восполни свои <b>Красные Камни до максимума.</b>;"<b>Принимать</b> Лекарство можно только <b>из бутылки с Сертификатом.</b><br><br>НЕЛЬЗЯ принимать <b>одно и то же Лекарство</b> чаще, чем <b>один раз в 15 минут</b>. Лекарство НЕ даст повторного эффекта до истечения срока.<br><br><b>При лечении Ранений</b> Камень из бутылки кладется НЕ в мешок персонажа, а в кювет с ""осколками"" (доктора в курсе), пациент Камней НЕ получает.<br><br>Сдавайте мастерам пустые бутылки.";48
20;ephedrine.jpg;Эфедрин;<br/>;Принял Эфедрин — <b>забери Камень из бутылки в свой мешок</b> и восполни свои <b>Синие Камни до максимума.</b>;"<b>Принимать</b> Лекарство можно только <b>из бутылки с Сертификатом.</b><br><br>НЕЛЬЗЯ принимать <b>одно и то же Лекарство</b> чаще, чем <b>один раз в 15 минут</b>. Лекарство НЕ даст повторного эффекта до истечения срока.<br><br><b>При лечении Ранений</b> Камень из бутылки кладется НЕ в мешок персонажа, а в кювет с ""осколками"" (доктора в курсе), пациент Камней НЕ получает.<br><br>Сдавайте мастерам пустые бутылки.";48
10;cocaine.jpg;Кокаин;<br/>;Принял Кокаин — <b>забери Камень из бутылки в свой мешок</b> и восполни свои <b>Зеленые Камни до максимума.</b>;"<b>Принимать</b> Лекарство можно только <b>из бутылки с Сертификатом.</b><br><br>НЕЛЬЗЯ принимать <b>одно и то же Лекарство</b> чаще, чем <b>один раз в 15 минут</b>. Лекарство НЕ даст повторного эффекта до истечения срока.<br><br><b>При лечении Ранений</b> Камень из бутылки кладется НЕ в мешок персонажа, а в кювет с ""осколками"" (доктора в курсе), пациент Камней НЕ получает.<br><br>Сдавайте мастерам пустые бутылки.";48
6;carbol.png;Пеницилин;Опытный образец из лаборатории.;Принял Пеницилин — <b>забери ВСЕ три Камня из бутылки в свой мешок</b> и восполни в мешке <b>до максимума</b> Камни ОДНОГО из цветов на твой выбор.{2mm}Примененный для Лечения Ранений, <b>гарантирует извлечение ВСЕХ {quot}осколков{quot}.</b>;<b>Принимать</b> Лекарство можно только <b>из бутылки с Сертификатом.</b><br><br>НЕЛЬЗЯ принимать <b>одно и то же Лекарство</b> чаще, чем <b>один раз в 15 минут</b>. Лекарство НЕ даст повторного эффекта до истечения срока.<br><br>Сдавайте мастерам пустые бутылки.;4
12;carbol.png;Инъекция;{1mm}Зловещий, запрещённый препарат!;Прием этого препарата погрузит тебя в особый Транс. {1mm}При приёме — <b>используй маркер вне игры, иди в дом 19</b>.{1mm}Перед приёмом — проверь, что в 19 доме свободно и тебя готовы принять.{1mm}После приёма — <b>опусти ОДИН Чёрный Камень в сосуд для Черных Камней</b> и <b>получи в свой мешок ещё 1 Черный Камень.</b>;"<img src=""../images/psi.png""/>";12
12;carbol.png;Инъекция;{1mm}Зловещий, запрещённый препарат!;Прием этого препарата погрузит тебя в особый Транс. {1mm}При приёме — <b>используй маркер вне игры, иди в дом 19</b>.{1mm}Перед приёмом — проверь, что в 19 доме свободно и тебя готовы принять.{1mm}После приёма — <b>опусти ОДИН Чёрный Камень в сосуд для Черных Камней</b> и <b>получи в свой мешок ещё 1 Черный Камень.</b>;"<img src=""../images/tau.png""/>";12
12;carbol.png;Инъекция;{1mm}Зловещий, запрещённый препарат!;Прием этого препарата погрузит тебя в особый Транс. {1mm}При приёме — <b>используй маркер вне игры, иди в дом 19</b>.{1mm}Перед приёмом — проверь, что в 19 доме свободно и тебя готовы принять.{1mm}После приёма — <b>опусти ОДИН Чёрный Камень в сосуд для Черных Камней</b> и <b>получи в свой мешок ещё 1 Черный Камень.</b>;"<img src=""../images/beta.png""/>";12
